ATCCode|ATCName
R05CB06|ambroxol
V09GX01|thallium (201Tl) chloride
D01AE04|undecylenic acid
R06AD02|promethazine
J07AG|Hemophilus influenzae B vaccines
N06BA04|methylphenidate
J01AA07|tetracycline
B05CX|Other irrigating solutions
R03DC01|zafirlukast
A16AA06|betaine
N05AB03|perphenazine
C03BA08|metolazone
R03DB|Xanthines and adrenergics
A01AD01|epinephrine
A12CX|Other mineral products
V04CJ02|protirelin
N01BA01|metabutethamine
B03AE|Iron in other combinations
N05AH01|loxapine
A05AA02|ursodeoxycholic acid
A03FA01|metoclopramide
R03DC03|montelukast
H02AB04|methylprednisolone
J07BA02|encephalitis, Japanese, inactivated, whole virus
M03BC01|orphenadrine (citrate)
G03|SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
C02AA02|reserpine
B05XB02|alanyl glutamine
G02AD04|carboprost
R06AE03|cyclizine
G03FA13|norgestimate and estrogen
N02AA|Natural opium alkaloids
N01BA52|procaine, combinations
J01DC06|cefonicid
G04BD09|trospium
G03FB05|norethisterone and estrogen
C09AA09|fosinopril
S01XA02|retinol
A11DA|Vitamin B1, plain
J05AX02|lysozyme
D07CC05|fluocinonide and antibiotics
D06BB10|imiquimod
C01BB01|lidocaine
R03BA01|beclometasone
N01BX03|phenol
N04BA|Dopa and dopa derivatives
B02AA02|tranexamic acid
S01KA02|hypromellose
P02CX01|pyrvinium
A12CC05|magnesium aspartate
B01AD|Enzymes
G03XB01|mifepristone
S01AD03|aciclovir
S01GA05|phenylephrine
B01AB10|tinzaparin
P03AC03|phenothrin
A14AA08|oxandrolone
B01AD02|alteplase
M02AA23|indometacin
N02BA11|diflunisal
J01AA06|oxytetracycline
A02AD04|hydrotalcite
A11DA03|benfotiamine
B02BD08|eptacog alfa (activated)
C02LC01|clonidine and diuretics
B02BB01|fibrinogen, human
D08AH03|oxyquinoline
J05AB06|ganciclovir
N02AX52|Show text from Guidelines
S01EC04|brinzolamide
C10AA03|pravastatin
A02BC03|lansoprazole
B06AA55|streptokinase, combinations
J02AB02|ketoconazole
C05CA01|rutoside
R05DA07|noscapine
A11J|OTHER VITAMIN PRODUCTS, COMBINATIONS
M01AB02|sulindac
M03BB52|chlormezanone, combinations excl. psycholeptics
A04AA|Serotonin (5HT3) antagonists
S01XA05|sodium edetate
N01AX13|nitrous oxide
L01XE01|imatinib
B01AA03|warfarin
B01AC05|ticlopidine
D01AC01|clotrimazole
D06AX01|fusidic acid
A07BB|Bismuth preparations
J01MB04|pipemidic acid
L04AA21|efalizumab
V08AB04|iopamidol
P02BA01|praziquantel
A11AB|Multivitamins, other combinations
M02AA19|flurbiprofen
N02AA02|opium
C01DA08|isosorbide dinitrate
G02B|CONTRACEPTIVES FOR TOPICAL USE
C05AD05|procaine
R06AB|Substituted alkylamines
S01AA24|kanamycin
A11AA01|multivitamins and iron
A02BX05|bismuth subcitrate
N02AB03|fentanyl
D07AB09|triamcinolone
J01XA02|teicoplanin
G03AA|Progestogens and estrogens, fixed combinations
J07AF01|diphtheria toxoid
J07AJ51|pertussis, inactivated, whole cell, combinations with toxoids
D08AK06|thiomersal
J05AF09|emtricitabine
N01BB53|mepivacaine, combinations
D07CC|Corticosteroids, potent, combinations with antibiotics
M03BB|Oxazol, thiazine, and triazine derivatives
V09A|CENTRAL NERVOUS SYSTEM
L03AA03|molgramostim
J06BB01|anti-D (rh) immunoglobulin
V01AA|Allergen extracts
S01AA23|netilmicin
P02CA01|mebendazole
R06AX17|ketotifen
C10AC04|colesevelam
N02BA55|salicylamide, combinations excl. psycholeptics
B05XA02|sodium bicarbonate
N03AB02|phenytoin
S01JA01|fluorescein
C08CA06|nimodipine
N07BC02|methadone
V09AA|Technetium (99mTc) compounds
A11HA05|biotin
B05BA01|amino acids
A03AB05|propantheline
A07DA02|opium
G02CB02|lisuride
H04AA01|glucagon
S01CA|Corticosteroids and antiinfectives in combination
J01CR50|combinations of penicillins
D07CB04|dexamethasone and antibiotics
C10AB02|bezafibrate
G02C|OTHER GYNECOLOGICALS
J01EB06|sulfanilamide
C02AC01|clonidine
D06BB07|lysozyme
N05AB04|prochlorperazine
